"Artist1";"Artist2";"Song_Connecting";"Popularity"
"19i93sA0D7yS9dYoVNBqAA";"41X1TR6hrK8Q2ZCpp2EqCz";"6ZWsKJdmoYu1oFJbzCmtK9";65
"19i93sA0D7yS9dYoVNBqAA";"6jQZzWW3JlEtcRDSzFVKSP";"2gUn6S1SuuXK0BvypPKnir";54
"19i93sA0D7yS9dYoVNBqAA";"7tmTvmqgTBcX88ZrSHByrD";"4m2W9TIvMmhqpOaguT5AJI";51
"0jdNdfi4vAuVi7a6cPDFBM";"19i93sA0D7yS9dYoVNBqAA";"0e16hLAkJH4yP5lNBMcken";60
"19i93sA0D7yS9dYoVNBqAA";"7u710e44HW3K7A5eTnRqHC";"3Hh0ZcGIqIkSiJVZGLcVLx";61
"0zoMmzmyi8N8LwzhyXPvtk";"19i93sA0D7yS9dYoVNBqAA";"6oNJqGeekJO8rADd2Mktvi";65
"19i93sA0D7yS9dYoVNBqAA";"5AZuEF0feCXMkUCwQiQlW7";"5EpBEqf5bnKeJ3p4zA1Sod";66
"0ffKEtMDnROKWyJtXUnLbJ";"19i93sA0D7yS9dYoVNBqAA";"3Hh0ZcGIqIkSiJVZGLcVLx";61
"19i93sA0D7yS9dYoVNBqAA";"3hBQ4zniNdQf1cqqo6hzuW";"76RvHRIMHDT0CcifsIHzQY";49
"06nvjg4wBANK6DCHjqtPNd";"19i93sA0D7yS9dYoVNBqAA";"65OaFb3aPqlknH4WQXzHtF";46
"19i93sA0D7yS9dYoVNBqAA";"4upwdFMlZBmQ68jP9jPzjK";"34UHhwlly3SHryWuVfMOJm";57
"19i93sA0D7yS9dYoVNBqAA";"3MkkSf3u5KU52Mb2iMrqeX";"34UHhwlly3SHryWuVfMOJm";57
"3MkkSf3u5KU52Mb2iMrqeX";"4upwdFMlZBmQ68jP9jPzjK";"2jkIbZ43eH3rM1yro2Ojzh";61
"4IG1SDlwgNKzqTmjBrvY3K";"7CSpCpNGTK9589bTi44SzE";"7COGuXyTr12KvdaYXMqheC";81
"2UGqLkLUByrbH1P7d9ThUo";"6oMRQ5H3A2XA5I3RG3leni";"1aFJ2kryash1ADLvgR6YnI";52
"3fUItdzxV5l9jupo5FkFwB";"6gzfKa8KmgcAfhbeeKo28T";"02LRqs9APH93DwHYBH5GsX";54
"3fUItdzxV5l9jupo5FkFwB";"5kfMU816qY0ujqEt3xIHqR";"02LRqs9APH93DwHYBH5GsX";54
"5kfMU816qY0ujqEt3xIHqR";"6gzfKa8KmgcAfhbeeKo28T";"02LRqs9APH93DwHYBH5GsX";54
"4MUsDaGK0nPDJvYSoaoFUA";"5kfMU816qY0ujqEt3xIHqR";"166qsYi2wR3u6qfg7wrh1r";68
"4MUsDaGK0nPDJvYSoaoFUA";"6gzfKa8KmgcAfhbeeKo28T";"4AKK4j6sYhOO1r6My2qqWO";75
"3fUItdzxV5l9jupo5FkFwB";"7ygNQCdpQWW7iSWAxDhvhI";"7I8o4jSN5Xf7NLXIfjTuM4";66
"4MUsDaGK0nPDJvYSoaoFUA";"4YYxffPVDFe9XoqqbRW6Bq";"539LAQobYbCmWNyEhy1ywq";66
"0Xo4VFS3v07L0GwIVkZLfg";"4MUsDaGK0nPDJvYSoaoFUA";"539LAQobYbCmWNyEhy1ywq";66
"0Xo4VFS3v07L0GwIVkZLfg";"4YYxffPVDFe9XoqqbRW6Bq";"539LAQobYbCmWNyEhy1ywq";66
"1fosVknoHjmETFcLUMCRjm";"3NOkHfqSrm8BtIUrJCqygC";"34v53oehy3jaDBgP2EDjd8";55
"7eQUXZlhnlskBKUyQma14f";"7ygNQCdpQWW7iSWAxDhvhI";"6gj8jaIY55FEpG3Q4CXKFA";61
"5MVcNHzaXuOnZSrOav2Kav";"7ygNQCdpQWW7iSWAxDhvhI";"6gj8jaIY55FEpG3Q4CXKFA";61
"5MVcNHzaXuOnZSrOav2Kav";"7eQUXZlhnlskBKUyQma14f";"6gj8jaIY55FEpG3Q4CXKFA";61
"4MUsDaGK0nPDJvYSoaoFUA";"6ieK9Ddas29reReO60on3o";"5qNEqzyLQKHAOW9Fi5B8q8";53
"5kfMU816qY0ujqEt3xIHqR";"6ieK9Ddas29reReO60on3o";"5qNEqzyLQKHAOW9Fi5B8q8";53
"4YYxffPVDFe9XoqqbRW6Bq";"6ieK9Ddas29reReO60on3o";"5qNEqzyLQKHAOW9Fi5B8q8";53
"4YYxffPVDFe9XoqqbRW6Bq";"5kfMU816qY0ujqEt3xIHqR";"10cA6m379GINGe7ZF6g3q1";70
"3fUItdzxV5l9jupo5FkFwB";"60byz1mvfXbEnL9lGmfAsM";"4PmwixffupyRUNpBgHjYSn";49
"4MUsDaGK0nPDJvYSoaoFUA";"5CA5IqbsFr4hpNLdjgO0BU";"3pJbrgZ3rmVFw1huQNQQUZ";62
"3L0TDlLE2v4lWjz5vw3vE8";"77GkTRXzckRvljR84wWvYh";"6I0p6Tm3Dmw2g15PMuA5ww";43
"5Y3MV9DZ0d87NnVm56qSY1";"5yEDqRhb3ABb25Of0IYpcn";"4iES20C41JpQ2xrUBxJZhF";45
"4NVGVAc2aeSTMkAI07bFoz";"5Y3MV9DZ0d87NnVm56qSY1";"4iES20C41JpQ2xrUBxJZhF";45
"3v7EPGIjdVJkMmG9G18lkv";"5Y3MV9DZ0d87NnVm56qSY1";"4iES20C41JpQ2xrUBxJZhF";45
"4NVGVAc2aeSTMkAI07bFoz";"5yEDqRhb3ABb25Of0IYpcn";"4iES20C41JpQ2xrUBxJZhF";45
"3v7EPGIjdVJkMmG9G18lkv";"5yEDqRhb3ABb25Of0IYpcn";"4iES20C41JpQ2xrUBxJZhF";45
"3v7EPGIjdVJkMmG9G18lkv";"4NVGVAc2aeSTMkAI07bFoz";"4iES20C41JpQ2xrUBxJZhF";45
"6oMRQ5H3A2XA5I3RG3leni";"766vvKS4M2b7XuaEzfkCs8";"7qNK8gHqYDlsRh2wIHQoq9";58
"0dUyjgCyjfj5eMx6bX2TWf";"5Y3MV9DZ0d87NnVm56qSY1";"5A1vGSsqw0UQCBxHOyPOjG";74
"0dUyjgCyjfj5eMx6bX2TWf";"1vqR17Iv8VFdzure1TAXEq";"4M4DTyLupKvbJKlE4I4EYq";73
"0dUyjgCyjfj5eMx6bX2TWf";"3Apb2lGmGJaBmr0TTBJvIZ";"4M4DTyLupKvbJKlE4I4EYq";73
"1vqR17Iv8VFdzure1TAXEq";"5Y3MV9DZ0d87NnVm56qSY1";"4TGwERXRlyQtBdggYTHo6j";89
"3Apb2lGmGJaBmr0TTBJvIZ";"5Y3MV9DZ0d87NnVm56qSY1";"7I8L3vYCLThw2FDrE6LuzE";77
"1vqR17Iv8VFdzure1TAXEq";"3Apb2lGmGJaBmr0TTBJvIZ";"7I8L3vYCLThw2FDrE6LuzE";77
"2IKdK6PbitvCiXt1t2bPU6";"5CA5IqbsFr4hpNLdjgO0BU";"0FnDfY1BABaChoLuqqE4CI";66
"2q6Gq9jlgpNEWgOzRZELQP";"6oMRQ5H3A2XA5I3RG3leni";"2Xu0zoERYZFruwpALw46qX";54
"2Jb9jVnCpWkXtoGznFJ6bF";"5CA5IqbsFr4hpNLdjgO0BU";"52Fw40zkJt0rFW5qkB2uJt";66
"1bAftSH8umNcGZ0uyV7LMg";"48vP5SxlTO6yOI7SLKIOQV";"0OWcpVA83HI8Pb5DybDuoX";67
"4IG1SDlwgNKzqTmjBrvY3K";"6oMRQ5H3A2XA5I3RG3leni";"5QEGqccl12HwT5hpa54ozP";69
"01m2XZ7m7rAz6KY3scTdaV";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"48vP5SxlTO6yOI7SLKIOQV";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"2qWK8K2Jfh67UqtwY8tCW6";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"6w3SkAHYPsQ1bxV7VDlG5y";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"4m6ubhNsdwF4psNf3R8kwR";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"1OBizG9nrnHJkrL9NjnWYN";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"4StQh17zinsbJ4r5ekmPj7";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"0Hkx0YcHHxDRRbH9WsSW0I";"0OWcpVA83HI8Pb5DybDuoX";67
"01m2XZ7m7rAz6KY3scTdaV";"1bAftSH8umNcGZ0uyV7LMg";"0OWcpVA83HI8Pb5DybDuoX";67
"48vP5SxlTO6yOI7SLKIOQV";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"2qWK8K2Jfh67UqtwY8tCW6";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"4puAp107dCehraE47QXVQX";"6w3SkAHYPsQ1bxV7VDlG5y";"0OWcpVA83HI8Pb5DybDuoX";67
"4m6ubhNsdwF4psNf3R8kwR";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"1OBizG9nrnHJkrL9NjnWYN";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"4StQh17zinsbJ4r5ekmPj7";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"0Hkx0YcHHxDRRbH9WsSW0I";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"1bAftSH8umNcGZ0uyV7LMg";"4puAp107dCehraE47QXVQX";"0OWcpVA83HI8Pb5DybDuoX";67
"2qWK8K2Jfh67UqtwY8tCW6";"48vP5SxlTO6yOI7SLKIOQV";"0OWcpVA83HI8Pb5DybDuoX";67
